domain,count,harmless,malicious,suspicious,timeout,undetected
profesionalhosting.com,2,0,0,0,0,0
rdadmin.es,2,0,0,0,0,0
seavtec.net,4,0,0,0,0,0
massemail.trade,2,0,0,0,0,0
lvlfo.com,2,0,0,0,0,0
tvbio.es,2,0,0,0,0,0
zeoplus.com,2,0,0,0,0,0
parafarmaciaortopediabarbero.com,2,0,0,0,0,0
accionespreferentes.es,2,0,0,0,0,0
taroteca.es,2,0,0,0,0,0
dizma.es,2,0,0,0,0,0
letsbrico.net,2,0,0,0,0,0
itcon.es,2,0,0,0,0,0
ip-178-33-163.eu,138,0,0,0,0,0
hiplovers.com,2,0,0,0,0,0
iberico.com,2,0,0,0,0,0
soy.es,2,0,0,0,0,0
escalae.org,2,0,0,0,0,0
ibertransit.com,2,0,0,0,0,0
planificacion-juridica.com,2,0,0,0,0,0
murciaescort.services,2,0,0,0,0,0
pormenosde50.com,2,0,0,0,0,0
alea-soluciones.com,2,0,0,0,0,0
lineagrafica.es,2,0,0,0,0,0
ocastrointernationalschool.es,2,0,0,0,0,0
estanteriasvilla.es,2,0,0,0,0,0
profesionalhosting.eu,2,0,0,0,0,0
isystems.es,2,0,0,0,0,0
fanmuebles.com,2,0,0,0,0,0
comercialvillar.com,2,0,0,0,0,0
novacel.plateforms.net,2,0,0,0,0,0
portalidea.com,2,0,0,0,0,0
gcarles.com,2,0,0,0,0,0
equilibrioydesarrollo.com,2,0,0,0,0,0
lapsum.net,2,0,0,0,0,0
9kmps.net,4,0,0,0,0,0
strategycomm.net,2,0,0,0,0,0
buy-this-domain.ch,2,0,0,0,0,0
geima.es,2,0,0,0,0,0
dapda.org,2,0,0,0,0,0
ventagafasbaratas.com,2,0,0,0,0,0
csnet.es,2,0,0,0,0,0
blogsting.com,4,0,0,0,0,0
innoforma.com,2,0,0,0,0,0
campus.escuelavirtualigualdad.es,2,0,0,0,0,0
aspsourcing.com,2,0,0,0,0,0
abcguionistas.com,2,0,0,0,0,0
euroinnova.es,2,0,0,0,0,0
certitree.com,2,0,0,0,0,0
xnxxpornclips.xyz,2,0,0,0,0,0
whmrelevant3.es,2,0,0,0,0,0
telemaroc.tv,2,0,0,0,0,0
asintec.net,2,0,0,0,0,0
colchonesaznar.com,2,0,0,0,0,0
elcajonrojo.es,2,0,0,0,0,0
compartir-habitatge.net,2,0,0,0,0,0
galival.es,2,0,0,0,0,0
adornosviada.com,2,0,0,0,0,0
codeandsystem.com,2,0,0,0,0,0
bilbonet.net,2,0,0,0,0,0
jaspertradint.com,2,0,0,0,0,0
menzzo.es,2,0,0,0,0,0
visichatcloud.com,2,0,0,0,0,0
intelligenia.com,2,0,0,0,0,0
canarias7.es,2,0,0,0,0,0
powerbit.info,2,0,0,0,0,0
exploore.es,2,0,0,0,0,0
remeco.com,2,0,0,0,0,0
fpadistancia.org,2,0,0,0,0,0
serviciotecnico-electroluxbarcelona.es,2,0,0,0,0,0
gopili.es,2,0,0,0,0,0
aboveandbeyond.es,2,0,0,0,0,0
mujerdeelite.com,2,0,0,0,0,0
worldsatnet.com,2,0,0,0,0,0
devzero.es,2,0,0,0,0,0
maesbyte.net,2,0,0,0,0,0
goldenvisasspain.net,2,0,0,0,0,0
armasdecoleccion.com,2,0,0,0,0,0
seoposicion.com,2,0,0,0,0,0
antispam.orix.es,2,0,0,0,0,0
hereusagusti.cat,2,0,0,0,0,0
askmefast.com,2,0,0,0,0,0
indesat.net,4,0,0,0,0,0
mso.host,2,0,0,0,0,0
vitalcigar.es,2,0,0,0,0,0
boomieworks.com,2,0,0,0,0,0
arpstreaming.com,2,0,0,0,0,0
librosrecomendados2016.com,2,0,0,0,0,0
icom-host.net,2,0,0,0,0,0
us04.pearsonemerge.info,2,0,0,0,0,0
